GLT;Male;Female;Obs1989;Obs1990;Obs1991;Obs1992;Obs1993;Obs1994;Obs1995;Obs1996;Obs1997;Obs1998;Obs1999;Obs2000;Obs2001;Obs2002;Obs2003;Obs2004;Obs2005;Obs2006;Obs2007
O13;1;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;0;0;0;0
RL2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0
S4;1;0;0;0;0;0;0;0;1;1;0;1;0;0;1;1;1;0;0;0;0
SK6;0;1;0;0;0;0;0;0;1;1;0;0;0;0;3;1;1;1;1;1;1
SK7;1;0;0;0;0;0;0;0;1;1;2;0;0;0;1;1;1;1;1;1;1
W16;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;1;0;0;0;0
W20;1;0;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;1;1;1;1
BK1;0;1;0;0;0;0;0;0;0;1;2;1;0;0;1;1;1;1;1;1;1
BK2;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;2;1;1
CM17;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
LA17;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
LA18;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
LA8;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;0;0
LA9;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;0;0;0;0
LC9;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;2;1;1
RP2;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0
SE5;1;0;0;0;0;0;0;0;0;1;0;1;0;0;2;1;1;1;1;1;1
SE6;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1
SE7;1;0;0;0;0;0;0;0;0;1;0;1;0;0;2;1;1;1;1;1;2
SE9;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1
SK8;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0
CA12;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1
CA13;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1
CA14;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1
CM15;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1
CM16;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CM20;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CM21;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1
CM22;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
LA21;0;1;0;0;0;0;0;0;0;0;1;1;1;2;2;1;1;1;1;1;1
LB1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0
LB2;0;1;0;0;0;0;0;0;0;0;1;1;0;0;2;1;1;1;1;1;1
LC11;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;2;1;1
MC1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1
MC2;0;1;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1
O19;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1
RL5;1;0;0;0;0;0;0;0;0;0;1;2;0;1;2;1;1;1;1;1;0
RL6;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;1;1;1;1;0
RL7;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0
SK10;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0
SK11;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1
W21;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1
W23;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1
WS1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1
WS2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1
