GLT;Obs2009;Obs2010;Obs2011;Obs2012;Obs2013;Obs2014;Obs2015;Obs2016;Obs2017;Obs2018;Obs2019;Obs2020;Obs2021;Obs2022
PT7;1;1;1;1;1;1;1;1;1;0;0;0;0;0
PT8;1;1;1;2;1;1;1;1;1;0;0;0;0;0
RT15;1;0;0;0;0;0;0;0;0;0;0;0;0;0
SD4;1;1;1;1;1;1;1;1;1;0;0;0;0;0
SD6;1;0;0;0;0;0;0;0;0;0;0;0;0;0
SI10;1;1;0;2;1;1;1;1;1;0;0;0;0;0
SI12;1;1;0;0;0;0;0;0;0;0;0;0;0;0
SI2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
SI3;1;0;0;0;0;0;0;0;0;0;0;0;0;0
SI4;1;1;1;1;1;1;1;1;1;1;1;1;1;0
SI5;1;0;0;0;0;0;0;0;0;0;0;0;0;0
SI7;1;2;1;1;1;1;1;1;1;0;0;0;0;0
SI8;1;1;1;1;0;0;0;0;0;0;0;0;0;0
SI9;1;0;0;0;0;0;0;0;0;0;0;0;0;0
SP12;1;0;0;0;0;0;0;0;0;0;0;0;0;0
SP13;1;1;0;0;0;0;0;0;0;0;0;0;0;0
SP14;1;1;1;1;0;0;0;0;0;0;0;0;0;0
SP15;1;1;1;2;0;0;0;0;0;0;0;0;0;0
SP16;1;1;1;1;1;1;1;0;0;0;0;0;0;0
SP2;1;1;0;0;0;0;0;0;0;0;0;0;0;0
SP6;1;1;1;1;1;1;1;1;1;1;1;1;1;1
SP8;1;1;0;0;0;0;0;0;0;0;0;0;0;0
SP9;1;1;1;1;0;0;0;0;0;0;0;0;0;0
ST16;1;0;0;0;0;0;0;0;0;0;0;0;0;0
TM1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
TM2;1;1;1;1;1;1;1;1;1;1;1;1;1;1
TM3;1;1;0;0;0;0;0;0;0;0;0;0;0;0
TM4;1;0;0;0;0;0;0;0;0;0;0;0;0;0
TM5;1;0;0;0;0;0;0;0;0;0;0;0;0;0
TM6;1;1;0;0;0;0;0;0;0;0;0;0;0;0
TM7;1;2;0;0;0;0;0;0;0;0;0;0;0;0
TR4;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1114;0;1;1;1;1;1;0;0;0;0;0;0;0;0
1126;0;1;1;1;1;1;1;1;1;1;1;1;1;1
986;0;1;1;1;1;1;1;1;1;1;1;1;1;1
MP29;0;1;1;1;1;0;0;0;0;0;0;0;0;0
MP35;0;1;1;1;1;1;1;1;1;1;1;1;1;1
MP47;0;1;1;1;1;1;1;1;1;1;1;1;1;1
MP54;0;1;1;1;1;1;1;1;1;1;1;1;1;1
PM55;0;1;1;1;1;1;1;1;1;1;1;1;1;1
1302;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1303;0;0;1;2;1;1;1;1;1;1;0;0;0;0
1307;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1311;0;0;1;0;0;0;0;0;0;0;0;0;0;0
AF14;0;0;1;2;1;0;0;0;0;0;0;0;0;0
AF15;0;0;1;1;0;0;0;0;0;0;0;0;0;0
FA3;0;0;1;1;1;1;1;0;0;0;0;0;0;0
FA4;0;0;1;2;1;1;1;1;1;0;0;0;0;0
JP16;0;0;1;1;1;1;1;1;0;0;0;0;0;0
JP17;0;0;1;1;1;1;1;1;1;0;0;0;0;0
JP19;0;0;1;1;1;1;1;1;1;0;0;0;0;0
JP20;0;0;1;1;1;1;1;1;1;0;0;0;0;0
JP23;0;0;1;1;1;1;1;1;1;0;0;0;0;0
MP20;0;0;1;1;1;1;1;0;0;0;0;0;0;0
MP21;0;0;1;1;2;2;1;1;1;0;0;0;0;0
MP26;0;0;1;1;1;1;1;1;1;1;1;1;1;1
MP30;0;0;1;1;1;0;0;0;0;0;0;0;0;0
MP31;0;0;1;1;1;0;0;0;0;0;0;0;0;0
MP36;0;0;1;1;0;0;0;0;0;0;0;0;0;0
MP49;0;0;1;1;1;1;1;1;1;1;1;1;1;1
MP50;0;0;1;1;1;1;0;0;0;0;0;0;0;0
MP51;0;0;1;1;1;1;0;0;0;0;0;0;0;0
MP52;0;0;1;1;1;1;0;0;0;0;0;0;0;0
MP53;0;0;1;1;1;1;0;0;0;0;0;0;0;0
MP61;0;0;1;1;1;0;0;0;0;0;0;0;0;0
MP62;0;0;1;1;1;0;0;0;0;0;0;0;0;0
MP65;0;0;1;1;1;1;0;0;0;0;0;0;0;0
MP70;0;0;1;1;1;0;0;0;0;0;0;0;0;0
MP71;0;0;1;1;1;0;0;0;0;0;0;0;0;0
MP73;0;0;1;1;1;0;0;0;0;0;0;0;0;0
MP74;0;0;1;1;1;3;1;1;1;1;0;0;0;0
