GLT;Male;Female;O1989;O1990;O1991;O1992;O1993;O1994;O1995;O1996;O1997;O1998;O1999;O2000;O2001;O2002;O2003;O2004;O2005;O2006;O2007;O2009
IP1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0
K13;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
KL2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
KL4;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
KS3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0
LA34;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0
LC20;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0
MC6;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0
MC7;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0
MC8;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0
O21;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0
SF1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0
SK13;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0
SK14;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
SK15;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0
BK6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
CA10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
CA11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
CA18;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
CA19;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
CA20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
CM23;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
CM24;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
CM25;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
CM26;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
CM27;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
CM29;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
KL1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
KL3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
KL5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0
KS1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
KS2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
KS4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
KS5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0
KS6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
LA33;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
LA36;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
LA37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
LB3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0
LB4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0
LC15;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0
LC21;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0
LC22;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0
LG10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
LG5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
LG9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
MC9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
O30;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
O31;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
P8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
PR1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
PR2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
RP1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0
RS1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
RS2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
SE4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
SE5.1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0
SK5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0
W25;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
W27;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
W28;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
DI2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0
IP2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
