GLT;Male;Female;O2009;O2010;O2011;O2012;O2013;O2014;O2015;O2016;O2017;O2018;O2019;O2020;O2021;O2022
MP99;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0
Nelson;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0
TR10;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0
1353;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1354;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
1355;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0
1358;0;1;0;0;0;0;0;0;1;1;1;1;1;1;0;0
1359;1;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0
EB1;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0
EB2;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0
EB3;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0
EB4;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0
MP102;0;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1
MP103;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
MP118;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
MP127;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
MP128;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
MP129;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
MP159;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
MP160;0;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1
MP161;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
MP86;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
1361;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0
1365;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
1366;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
FA10;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
MP119;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
MP137;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1
MP139;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0
MP140;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
MP141;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1
MP142;0;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0
MP164;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
MP165;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1
MP166;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;1
MP167;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0
MP169;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0
