GLT;Male;Female;O2009;O2010;O2011;O2012;O2013;O2014;O2015;O2016;O2017;O2018;O2019;O2020;O2021;O2022
SP8;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
SP9;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
ST16;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
TM1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
TM2;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
TM3;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
TM4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
TM5;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
TM6;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
TM7;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
TR4;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1114;0;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0
1126;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1
986;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
MP29;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0
MP35;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
MP47;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
MP54;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1
PM55;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1
1302;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1303;0;1;0;0;1;1;1;1;1;1;1;1;0;0;0;0
1307;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1311;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
AF14;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
AF15;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
FA3;0;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0
FA4;0;1;0;0;1;1;1;1;1;1;1;0;0;0;0;0
JP16;0;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0
JP17;0;1;0;0;1;1;1;1;1;1;1;0;0;0;0;0
JP19;1;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0
JP20;1;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0
JP23;0;1;0;0;1;1;1;1;1;1;1;0;0;0;0;0
MP20;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0
MP21;0;1;0;0;1;1;1;1;1;1;1;0;0;0;0;0
MP26;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1
MP30;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0
MP31;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
MP36;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0
MP49;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1
MP50;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0
MP51;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0
MP52;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0
MP53;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0
MP61;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0
MP62;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
MP65;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0
MP70;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0
MP71;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0
MP73;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
MP74;1;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
MP75;0;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0
MP79;1;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0
MP81;1;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0
MP83;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0
SI16;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0
SI17;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0
SP18;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1
TM8;0;1;0;0;1;1;1;1;1;1;1;0;0;0;0;0
