GLT;Male;Female;O1989;O1990;O1991;O1992;O1993;O1994;O1995;O1996;O1997;O1998;O1999;O2000;O2001;O2002;O2003;O2004;O2005;O2006;O2007
RP3;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1
SE10;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1
W13;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1
LC16;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1
LC18;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1
LC19;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1
O25;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1
RL10;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1
RL8;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1
RL9;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1
CM18;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
DI1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
IN6;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
IP1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
K13;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
KS3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0
LC20;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
MC6;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
MC7;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
MC8;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
O21;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
SF1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
SK13;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
SK14;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
SK15;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0
CA10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
CA11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
CA18;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
CA19;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
CA20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
CM23;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
CM24;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
CM25;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
CM26;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
CM27;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
CM29;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
KS1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
KS2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
KS4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
KS5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
KS6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
LC15;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
LC21;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
LC22;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
LG10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
LG5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
LG9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
MC9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
O30;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
O31;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
P8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
PR1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
PR2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
RP1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0
RS1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
RS2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
SE4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
SE5.1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0
SK5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0
DI2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
IP2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0
IP3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0
LC24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
LG11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
LG12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
MC10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
MC11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
SK19.1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0
CA21;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
ID2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
IG1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
IG2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
JO1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
LC25;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
MB2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
MB3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
O36;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
O37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
O39;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
O43;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
RL14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
RL15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
IG3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
JO2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
K14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
LC26;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
LC27;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
MB1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
O42;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
RL16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
SF5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
