GLT;Obs1989;Obs1990;Obs1991;Obs1992;Obs1993;Obs1994;Obs1995;Obs1996;Obs1997;Obs1998;Obs1999;Obs2000;Obs2001;Obs2002;Obs2003;Obs2004;Obs2005;Obs2006;Obs2007
LC15;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;1;1
LC21;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;1;1
LC22;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;1;1
LG10;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
LG5;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
LG9;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
MC9;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
O30;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
O31;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
P8;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
PR1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
PR2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;3
RP1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0
RS1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
RS2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
SE12;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
SE13;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
SE4;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
SE5.1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0
SF3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;3
SK5;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0
W25;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
W27;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
W28;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
DI2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
IP2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;1;0
IP3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;1;0
LC24;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;1;1
LG11;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
LG12;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
MC10;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
MC11;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
RL11;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;1;1
RL13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;1;1
SK19.1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0
CA21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
ID2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
IG1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
IG2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
JO1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
LC25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;1
MB2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
MB3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
O36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
O37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1
O39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1
O43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
RL14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1
RL15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1
IG3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
JO2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
K14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
KL6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
LA39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
LA42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
LA43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
LA47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
LC26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1
LC27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
LC28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
LC29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1
MB1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
O42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1
RL16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
RL17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
SF5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
SF6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
SH1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
SH4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
SH5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
SH6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
