GLT;Male;Female;Obs2010;Obs2011;Obs2012;Obs2013;Obs2014;Obs2015;Obs2016;Obs2017;Obs2018;Obs2019;Obs2020;Obs2021;Obs2022
MP61;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0
MP62;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0
MP65;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0
MP70;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0
MP71;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0
MP73;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0
MP74;0;1;0;1;1;1;3;1;1;1;1;0;0;0;0
MP75;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0
MP79;0;1;0;1;1;1;1;1;1;0;0;0;0;0;0
MP81;0;1;0;1;1;1;1;1;1;0;0;0;0;0;0
MP83;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0
SI16;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0
SI17;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0
SP18;1;0;0;1;2;1;1;1;1;1;1;1;2;1;1
TM8;1;0;0;1;1;1;1;1;1;1;0;0;0;0;0
TM9;0;1;0;1;1;1;1;1;1;1;0;0;0;0;0
XT1;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0
XT2;0;1;0;1;2;2;0;0;0;0;0;0;0;0;0
1313;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0
1320;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
1321;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
1323;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
1332;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0
BE3;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0
FA6;0;1;0;0;1;1;1;1;1;1;1;1;1;2;1
JP21;0;1;0;0;1;1;1;1;1;1;0;0;0;0;0
JP22;0;1;0;0;1;1;1;1;1;1;0;0;0;0;0
MP40;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0
MP42;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0
MP43;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
MP45;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
MP46;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
MP48;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1
MP58;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1
MP59;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
MP60;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0
