Group;MinYear;MaxYear;Duration;N;UMMPs;Farm;Long;Lat;Fragment.Region;To include
GM3;2021;2022;1;10;Imbau III;Faz. Nova Esperanca;764154;7494871;Faz. Nova Esperanca;1
GM4;2021;2022;1;10;Imbau III;Faz. Nova Esperanca;763701;7494412;Faz. Nova Esperanca;1
GM5;2021;2022;1;10;Imbau III;Faz. Nova Esperanca;763853;7494634;Faz. Nova Esperanca;1
JA;2021;2022;1;10;NA;NA;NA;NA;NA;1
MF3;2021;2022;1;10;NA;NA;NA;NA;NA;1
NE;2021;2022;1;10;NA;NA;NA;NA;NA;1
OM2;2003;2007;4;10;NA;NA;NA;NA;NA;1
PB;2005;2009;4;10;Faz. Boa Esperanza;Faz. Boa Esperanca;762798;7491860;Faz. Boa Esperanca;1
SI3;2021;2022;1;10;Imbau I;Faz. Tamarins;768089;7498133;Faz. Tamarins;1
SQII;2021;2022;1;10;NA;NA;NA;NA;NA;1
SSII;2021;2022;1;10;NA;NA;NA;NA;NA;1
BI;2004;2007;3;9;NA;Faz. Sta Barbara;775874;7507834;Faz. Sta Barbara;1
BU;1990;2016;26;9;NA;NA;NA;NA;NA;1
JR.1;2021;2022;1;9;NA;NA;NA;NA;NA;1
POR3;2014;2016;2;9;Poco das Antas;Poco das Antas;777221;7504889;Poco das Antas;1
XP;2009;2011;2;9;NA;NA;NA;NA;NA;1
AF19;2014;2016;2;8;NA;NA;NA;NA;NA;1
AF8;2007;2011;4;8;Imbau III;Faz. Boa Esperanca;761195;7494295;Faz. Boa Esperanca;1
CH2;2021;2022;1;8;NA;NA;NA;NA;NA;1
GM7;2021;2022;1;8;Imbau III;Faz. Nova Esperanca;764127;7494807;Faz. Nova Esperanca;1
GM8;2021;2022;1;8;NA;NA;NA;NA;NA;1
JQ;2021;2022;1;8;Rio Vermelho;Faz. Rio Vermelho;750708;7484360;Faz. Rio Vermelho;1
LS;2004;2007;3;8;Aldeia II;Faz. Sta Helena;772094;7506000;Faz. Sta Helena;1
MD;2006;2009;3;8;NA;NA;NA;NA;NA;1
PJ;2004;2007;3;8;NA;NA;NA;NA;NA;1
TM3;2021;2022;1;8;NA;NA;NA;NA;NA;1
XT2;2012;2013;1;8;NA;NA;NA;NA;NA;1
BI2;2004;2007;3;7;NA;NA;NA;NA;NA;1
LS2;2021;2022;1;7;Aldeia II;Faz. Sta Helena;771839;7506141;Faz. Sta Helena;1
OL2;2005;2009;4;7;Imbau III;Faz. Boa Esperanca;764227;7494836;Faz. Boa Esperanca;1
RM2;2021;2022;1;7;NA;NA;NA;NA;NA;1
SH2;2004;2007;3;7;NA;NA;NA;NA;NA;1
DI2;2021;2022;1;6;NA;NA;NA;NA;NA;1
E21;2005;2007;2;6;NA;NA;NA;NA;NA;1
EUC2;2009;2010;1;6;Poco das Antas;Poco das Antas;778279;7506405;Poco das Antas;1
PB2;2006;2009;3;6;Faz. Boa Esperanza;Faz. Boa Esperanca;763122;7492399;Faz. Boa Esperanca;1
Sta Fe;2007;2009;2;6;NA;NA;NA;NA;NA;1
BB2;2004;2006;2;5;NA;NA;NA;NA;NA;1
GM9;2021;2022;1;5;NA;NA;NA;NA;NA;1
OL18;2005;2007;2;5;NA;NA;NA;NA;NA;1
PF2;2004;2007;3;5;NA;NA;NA;NA;NA;1
CLA2;2005;2007;2;4;NA;NA;NA;NA;NA;0
DU2;2012;2013;1;4;Uniao I;Rebio Uniao;807016;7517600;Rebio Uniao;0
EL;2007;2009;2;4;Imbau I;St. do Eliel;761336;7496899;St. do Eliel;0
FA22;2018;2019;1;4;Imbau III;Faz. Nova Esperanca;764129;7494838;Faz. Nova Esperanca;0
Foo;2013;2013;0;4;NA;NA;NA;NA;NA;0
GM10;2022;2022;0;4;NA;NA;NA;NA;NA;1
